id,strain,mouse.id,dam,sire,sex,dob,date.2wk,date.3wk,date.6wk,date.9wk,sac.date,age.sac,ls,seq,mtw,tissue,recombinat,sac,gfp,rfp,mfp,ffp,tf
b193,2DB,2DFB(F2)-01-39-02,2DFB-04-19-03,2DFB-04-19-05,0,19-Nov-06,03-Dec-06,10-Dec-06,31-Dec-06,21-Jan-07,19-Jan-07,61,5,1,29.8,0,nr,20.7,0.414,0.09,0.18,0.497,1.181
b194,2DB,2DFB(F2)-01-39-03,2DFB-04-19-03,2DFB-04-19-05,0,19-Nov-06,03-Dec-06,10-Dec-06,31-Dec-06,21-Jan-07,19-Jan-07,61,5,1,29.8,0,nr,24.4,0.341,0.058,0.195,0.383,0.977
b195,2DB,2DFB(F2)-01-39-04,2DFB-04-19-03,2DFB-04-19-05,0,19-Nov-06,03-Dec-06,10-Dec-06,31-Dec-06,21-Jan-07,19-Jan-07,61,5,1,29.8,0,nr,24.1,0.3,0.042,0.185,0.351,0.878
b196,2DB,2DFB(F2)-01-39-05,2DFB-04-19-03,2DFB-04-19-05,0,19-Nov-06,03-Dec-06,10-Dec-06,31-Dec-06,21-Jan-07,19-Jan-07,61,5,1,29.8,0,nr,30,0.537,0.092,0.228,0.478,1.335
b197,2DB,2DFB(F2)-01-40-01,2DFB-04-21-04,2DFB-04-21-07,0,23-Nov-06,07-Dec-06,14-Dec-06,04-Jan-07,25-Jan-07,30-Jan-07,68,11,1,27.1,0,nr,28.1,0.584,0.08,0.259,0.504,1.427
b198,2DB,2DFB(F2)-01-40-02,2DFB-04-21-04,2DFB-04-21-07,0,23-Nov-06,07-Dec-06,14-Dec-06,04-Jan-07,25-Jan-07,30-Jan-07,68,11,1,27.1,0,nr,28.8,0.493,0.068,0.271,0.404,1.236
b199,2DB,2DFB(F2)-01-40-03,2DFB-04-21-04,2DFB-04-21-07,0,23-Nov-06,07-Dec-06,14-Dec-06,04-Jan-07,25-Jan-07,30-Jan-07,68,11,1,27.1,0,nr,24.8,0.742,0.106,0.27,0.556,1.674
b200,2DB,2DFB(F2)-01-40-04,2DFB-04-21-04,2DFB-04-21-07,0,23-Nov-06,07-Dec-06,14-Dec-06,04-Jan-07,25-Jan-07,30-Jan-07,68,11,1,27.1,0,nr,27.6,0.398,0.061,0.243,0.384,1.086
b201,2DB,2DFB(F2)-01-40-05,2DFB-04-21-04,2DFB-04-21-07,0,23-Nov-06,07-Dec-06,14-Dec-06,04-Jan-07,25-Jan-07,30-Jan-07,68,11,1,27.1,0,nr,26.9,0.755,0.158,0.32,0.702,1.935
b202,2DB,2DFB(F2)-01-40-06,2DFB-04-21-04,2DFB-04-21-07,0,23-Nov-06,07-Dec-06,14-Dec-06,04-Jan-07,25-Jan-07,30-Jan-07,68,11,1,27.1,0,nr,25,0.465,0.08,0.238,0.397,1.18
b203,2DB,2DFB(F2)-01-40-09,2DFB-04-21-04,2DFB-04-21-07,1,23-Nov-06,07-Dec-06,14-Dec-06,04-Jan-07,25-Jan-07,30-Jan-07,68,11,1,27.1,0,nr,35,0.447,0.091,0.257,0.327,1.122
b204,2DB,2DFB(F2)-01-40-10,2DFB-04-21-04,2DFB-04-21-07,1,23-Nov-06,07-Dec-06,14-Dec-06,04-Jan-07,25-Jan-07,30-Jan-07,68,11,1,27.1,0,nr,37.4,0.416,0.095,0.251,0.362,1.124
b205,2DB,2DFB(F2)-01-40-11,2DFB-04-21-04,2DFB-04-21-07,1,23-Nov-06,07-Dec-06,14-Dec-06,04-Jan-07,25-Jan-07,30-Jan-07,68,11,1,27.1,0,nr,33.7,0.517,0.143,0.274,0.442,1.376
